id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc,models_ensemble_count
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,3,binary,0.84125,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:10,3645.3,3601.0,1.1,17.0,1229737990,,0.862559,0.609976,0.350847,0.84125,
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,4,binary,0.785495,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:14,3644.1,3599.1,1.3,19.0,1229737991,,0.853081,0.629043,0.397155,0.785495,
openml.org/t/190137,ozone-level-8hr,autosklearn,1h8c_gp3,9,binary,0.885812,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:15,3651.6,3607.3,0.1,4.0,1229737996,,0.936759,0.587421,0.390419,0.885812,
openml.org/t/168909,dilbert,autosklearn,1h8c_gp3,9,multiclass,-0.0211193,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:16,3681.3,3602.1,3.2,6.0,1229737996,,0.99,0.990144,0.0211193,,
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,5,binary,0.828822,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:17,3640.0,3596.8,0.5,9.0,1229737992,,0.862559,0.597634,0.469798,0.828822,
openml.org/t/359961,mfeat-factors,autosklearn,1h8c_gp3,9,multiclass,-0.0709265,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:21,3669.0,3613.6,5.0,8.0,1229737996,,0.985,0.985,0.0709265,,
openml.org/t/190146,vehicle,autosklearn,1h8c_gp3,1,multiclass,-0.437191,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:26,3645.4,3603.4,0.1,5.0,1229737988,,0.776471,0.779221,0.437191,,
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,2,binary,0.850646,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:30,3669.1,3624.2,1.4,22.0,1229737989,,0.848341,0.538495,0.311803,0.850646,
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,6,binary,0.857337,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:30,3651.5,3606.5,1.0,14.0,1229737993,,0.890995,0.651515,0.444794,0.857337,
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,9,binary,0.80934,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:43,3644.1,3598.8,1.2,18.0,1229737996,,0.857143,0.59533,0.497892,0.80934,
openml.org/t/190146,vehicle,autosklearn,1h8c_gp3,2,multiclass,-0.378004,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:43,3640.3,3598.2,0.1,5.0,1229737989,,0.776471,0.779221,0.378004,,
openml.org/t/168909,dilbert,autosklearn,1h8c_gp3,5,multiclass,-0.0313248,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:45,3741.6,3617.5,25.6,5.0,1229737992,,0.985,0.984966,0.0313248,,
